date,NASDAQ 100 Tech Index,S&P Healthcare Index,Gold_Price,Oil_Price,Dollar_Index,Gold_Volume,Oil_Volume,BEIR,VIX index
2024-06-05,10372.08,1696.08996582031,2354.10009765625,74.0699996948242,104.269996643066,295,307701,2.3,12.6300001144409
2024-06-06,10342.54,1701.64001464844,2370.30004882812,75.5500030517578,104.099998474121,179,291082,2.28,12.5799999237061
2024-06-07,10336.93,1703.43994140625,2305.19995117188,75.5299987792969,104.889999389648,269,280253,2.3,12.2200002670288
2024-06-10,10455.0,1708.5400390625,2307.69995117188,77.7399978637695,105.150001525879,69,317031,2.31,12.7399997711182
2024-06-11,10511.93,1702.63000488281,2307.5,77.9000015258789,105.230003356934,871,314874,2.27,12.8500003814697
2024-06-12,10724.43,1699.17004394531,2336.0,78.5,104.650001525879,132,322285,2.22,12.039999961853
2024-06-13,10686.7,1698.44995117188,2300.19995117188,78.620002746582,105.199996948242,298,307638,2.21,11.9399995803833
2024-06-14,10713.43,1696.64001464844,2331.39990234375,78.4499969482422,105.550003051758,948,245827,2.17,12.6599998474121
2024-06-17,10850.75,1693.21997070312,2312.39990234375,80.3300018310547,105.319999694824,110,126733,2.22,12.75
2024-06-18,10883.35,1695.18005371094,2330.39990234375,81.5699996948242,105.26000213623,43,140709,2.21,12.3000001907349
2024-06-20,10733.55,1701.38000488281,2353.80004882812,82.1699981689453,105.589996337891,183,420499,2.25,13.2799997329712
2024-06-21,10742.46,1706.47998046875,2316.39990234375,80.7300033569336,105.800003051758,76,290500,2.23,13.1999998092651
2024-06-24,10582.28,1715.85998535156,2330.0,81.629997253418,105.470001220703,99,271745,2.22,13.3299999237061
2024-06-25,10689.96,1710.60998535156,2316.60009765625,80.8300018310547,105.610000610352,105,286038,2.22,12.8400001525879
2024-06-26,10696.84,1704.52001953125,2299.19995117188,80.9000015258789,106.050003051758,986,308410,2.26,12.5500001907349
2024-06-27,10749.36,1701.63000488281,2324.5,81.7399978637695,105.910003662109,1532,306342,2.26,12.2399997711182
2024-06-28,10790.65,1700.32995605469,2327.69995117188,81.5400009155273,105.870002746582,92,260252,2.28,12.4399995803833
2024-07-01,10832.37,1690.81005859375,2327.60009765625,83.379997253418,105.900001525879,237,345780,2.32,12.2200002670288
2024-07-02,10943.99,1684.13000488281,2323.0,82.8099975585938,105.720001220703,30,367787,2.3,12.0299997329712
2024-07-03,11024.35,1671.86999511719,2359.80004882812,83.879997253418,105.400001525879,59,289685,2.27,12.0900001525879
2024-07-05,11152.76,1684.01000976562,2388.5,83.1600036621094,104.879997253418,72,361357,2.28,12.4799995422363
2024-07-08,11178.97,1682.40002441406,2355.19995117188,82.3300018310547,105.01000213623,64,251774,2.27,12.3699998855591
2024-07-09,11104.32,1689.60998535156,2360.10009765625,81.4100036621094,105.129997253418,9,297325,2.26,12.5100002288818
2024-07-10,11224.97,1706.13000488281,2372.19995117188,82.0999984741211,105.050003051758,19,334380,2.27,12.8500003814697
2024-07-11,11000.94,1718.43994140625,2415.0,82.620002746582,104.440002441406,72,324170,2.25,12.9200000762939
2024-07-12,11145.72,1728.5400390625,2414.0,82.2099990844727,104.089996337891,355,370062,2.24,12.460000038147
2024-07-15,11168.48,1721.13000488281,2422.89990234375,81.9100036621094,104.190002441406,540,296520,2.27,13.1199998855591
2024-07-16,11222.98,1746.01000976562,2462.39990234375,80.7600021362305,104.269996643066,93,308186,2.26,13.1899995803833
2024-07-17,10757.7,1754.44995117188,2454.80004882812,82.8499984741211,103.75,10,257437,2.26,14.4799995422363
2024-07-18,10661.59,1714.21997070312,2451.80004882812,82.8199996948242,104.169998168945,2,95704,2.31,15.9300003051758
2024-07-19,10503.45,1722.7900390625,2395.5,80.129997253418,104.400001525879,15,83795,2.32,16.5200004577637
2024-07-22,10709.86,1732.56994628906,2392.0,79.7799987792969,104.309997558594,18,345235,2.3,14.9099998474121
2024-07-23,10620.65,1731.97998046875,2404.60009765625,76.9599990844727,104.449996948242,41,417941,2.29,14.7200002670288
2024-07-24,10172.3,1746.08996582031,2413.30004882812,77.5899963378906,104.389999389648,6,355971,2.28,18.0400009155273
2024-07-25,10094.14,1736.10998535156,2351.89990234375,78.2799987792969,104.360000610352,31,457288,2.28,18.4599990844727
2024-07-26,10219.79,1745.97998046875,2380.0,77.1600036621094,104.319999694824,95,365121,2.27,16.3899993896484
2024-07-29,10212.0,1747.58996582031,2377.30004882812,75.8099975585938,104.559997558594,126409,362635,2.25,16.6000003814697
2024-07-30,9999.5,1749.46997070312,2405.0,74.7300033569336,104.550003051758,25944,419478,2.25,17.6900005340576
2024-07-31,10347.99,1742.67004394531,2426.5,77.9100036621094,104.099998474121,1313,460315,2.24,16.3600006103516
2024-08-01,9923.38,1761.07995605469,2435.0,76.3099975585938,104.419998168945,690,383014,2.2,18.5900001525879
2024-08-02,9481.51,1757.39001464844,2425.69995117188,73.5199966430664,103.209999084473,550,467786,2.04,23.3899993896484
2024-08-05,9288.31,1710.0400390625,2401.69995117188,72.9400024414062,102.690002441406,334,500151,2.07,38.5699996948242
2024-08-06,9395.97,1718.32995605469,2389.10009765625,73.1999969482422,102.970001220703,163,352250,2.12,27.7099990844727
2024-08-07,9335.21,1699.94995117188,2390.5,75.2300033569336,103.199996948242,130,427995,2.11,27.8500003814697
2024-08-08,9740.57,1738.43994140625,2422.19995117188,76.1900024414062,103.209999084473,201,327301,2.12,23.7900009155273
2024-08-09,9760.35,1746.41003417969,2432.10009765625,76.8399963378906,103.139999389648,611,263007,2.1,20.3700008392334
2024-08-12,9753.14,1739.58996582031,2462.39990234375,80.0599975585938,103.139999389648,566,376747,2.11,20.7099990844727
2024-08-13,10029.71,1760.96997070312,2466.69995117188,78.3499984741211,102.559997558594,510,370763,2.09,18.1200008392334
2024-08-14,10042.35,1768.84997558594,2439.39990234375,76.9800033569336,102.569999694824,274,357636,2.06,16.1900005340576
2024-08-15,10370.06,1779.41003417969,2453.10009765625,78.1600036621094,102.980003356934,285,195122,2.12,15.2299995422363
2024-08-16,10378.09,1779.97998046875,2498.60009765625,76.6500015258789,102.459999084473,197,100810,2.08,14.8000001907349
2024-08-19,10515.51,1791.10998535156,2501.80004882812,74.370002746582,101.889999389648,88,118172,2.07,14.6499996185303
2024-08-20,10453.27,1797.71997070312,2511.30004882812,74.0400009155273,101.440002441406,187,329276,2.07,15.8800001144409
2024-08-21,10569.47,1801.78002929688,2508.39990234375,71.9300003051758,101.040000915527,96,390527,2.07,16.2700004577637
2024-08-22,10325.77,1801.36999511719,2478.89990234375,73.0100021362305,101.51000213623,210,334117,2.1,17.5499992370605
2024-08-23,10470.0,1810.71997070312,2508.39990234375,74.8300018310547,100.720001220703,94,313764,2.13,15.8599996566772
2024-08-26,10269.27,1808.63000488281,2517.69995117188,77.4199981689453,100.849998474121,290,409675,2.15,16.1499996185303
2024-08-27,10313.16,1810.48999023438,2516.0,75.5299987792969,100.550003051758,100,331162,2.15,15.4300003051758
2024-08-28,10152.35,1812.64001464844,2501.0,74.5199966430664,101.089996337891,2353,337361,2.15,17.1100006103516
2024-08-29,10249.34,1816.48999023438,2525.69995117188,75.9100036621094,101.339996337891,3966,408147,2.16,15.6499996185303
2024-08-30,10465.2,1829.7099609375,2493.80004882812,73.5500030517578,101.699996948242,208,427273,2.15,15.0
2024-09-03,10001.38,1825.78002929688,2489.89990234375,70.3399963378906,101.830001831055,206,546617,2.11,20.7199993133545
2024-09-04,9917.13,1823.19995117188,2493.39990234375,69.1999969482422,101.360000610352,470,482025,2.07,21.3199996948242
2024-09-05,9874.59,1797.85998535156,2511.39990234375,69.1500015258789,101.110000610352,54,405596,2.03,19.8999996185303
2024-09-06,9618.78,1790.65002441406,2493.5,67.6699981689453,101.180000305176,96,351074,2.03,22.3799991607666
2024-09-09,9744.13,1803.84997558594,2501.80004882812,68.7099990844727,101.550003051758,96,351074,2.04,19.4500007629395
2024-09-10,9800.33,1811.90002441406,2512.30004882812,65.75,101.629997253418,5,442855,2.02,19.0799999237061
2024-09-11,10058.96,1807.39001464844,2512.10009765625,67.3099975585938,101.680000305176,90,393311,2.04,17.6900005340576
2024-09-12,10046.01,1813.01000976562,2551.19995117188,68.9700012207031,101.370002746582,132,351976,2.05,17.0699996948242
2024-09-13,10120.4,1816.47998046875,2581.30004882812,68.6500015258789,101.110000610352,31,308983,2.08,16.5599994659424
2024-09-16,10092.98,1827.22998046875,2580.39990234375,70.0899963378906,100.76000213623,28,295176,2.09,17.1399993896484
2024-09-17,10075.38,1808.69995117188,2564.30004882812,71.1900024414062,100.889999389648,22,251629,2.12,17.6100006103516
2024-09-18,10002.3,1805.81005859375,2570.69995117188,70.9100036621094,100.599998474121,25,102907,2.12,18.2299995422363
2024-09-19,10299.62,1812.06005859375,2588.0,71.9499969482422,100.610000610352,99,86630,2.17,16.3299999237061
2024-09-20,10230.75,1805.90002441406,2619.89990234375,71.9199981689453,100.720001220703,17,306997,2.15,16.1499996185303
2024-09-23,10264.62,1801.38000488281,2626.5,70.370002746582,100.919998168945,9,338267,2.17,15.8900003433228
2024-09-24,10331.36,1797.38000488281,2651.19995117188,71.5599975585938,100.370002746582,35,318516,2.19,15.3900003433228
2024-09-25,10332.98,1780.5400390625,2659.19995117188,69.6900024414062,100.919998168945,175,476237,2.18,15.4099998474121
2024-09-26,10540.03,1786.28002929688,2669.89990234375,67.6699981689453,100.559997558594,17216,478069,2.16,15.3699998855591
2024-09-27,10489.7,1785.57995605469,2644.30004882812,68.1800003051758,100.419998168945,4228,341133,2.15,16.9599990844727
2024-09-30,10443.26,1796.47998046875,2636.10009765625,68.1699981689453,100.779998779297,973,350115,2.18,16.7299995422363
2024-10-01,10232.38,1787.40002441406,2667.30004882812,69.8300018310547,101.190002441406,153,668216,2.19,19.2600002288818
2024-10-02,10340.15,1783.75,2647.10009765625,70.0999984741211,101.680000305176,72,429225,2.21,18.8999996185303
2024-10-03,10335.5,1767.64001464844,2657.10009765625,73.7099990844727,101.98999786377,354,460554,2.21,20.4899997711182
2024-10-04,10486.48,1769.05004882812,2645.80004882812,74.379997253418,102.519996643066,114,428815,2.23,19.2099990844727
